AWARD ID,USASPENDING LINK,TOTAL AWARD FUNDING AMOUNT,RECIPIENT TYPE,RECIPIENT NAME,Address,City,STATE,Zip Code
,,0,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,,,2892
,,3119442,NON-PROFIT ORGANIZATION,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,230 W 41st St,New York,NEW YORK,2892
2153564,https://www.usaspending.gov/award/ASST_NON_2153564_4900/ ,12244454,NON-PROFIT ORGANIZATION,ACTIVATE GLOBAL INC,"2600 Tenth Street, Suite 300",Berkeley,CALIFORNIA,94710
2224545,https://www.usaspending.gov/award/ASST_NON_2224545_4900/ ,2550000,NON-PROFIT ORGANIZATION,"CARY INSTITUTE OF ECOSYSTEM STUDIES, INC",2801 Sharon Tpke,Millbrook,NEW YORK,12545
2233699,https://www.usaspending.gov/award/ASST_NON_2233699_4900/,1736883,NON-PROFIT ORGANIZATION,COASTAL AND ESTUARINE RESEARCH FEDERATION,2150 N 107th St,Seattle,WASHINGTON,98133
2329530,https://www.usaspending.gov/award/ASST_NON_2329530_4900/,99501,NON-PROFIT ORGANIZATION,DEEP SOUTH CENTER FOR ENVIRONMENTAL JUSTICE INC,9801 Lake Forest Blvd,New Orleans,LOUISIANA,70127
2202639,https://www.usaspending.gov/award/ASST_NON_2202639_4900/,199883,NON-PROFIT ORGANIZATION,ECOLOGICAL SOCIETY OF AMERICA INC,1990 M St NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2209643,https://www.usaspending.gov/award/ASST_NON_2209643_4900/,99549,NON-PROFIT ORGANIZATION,ECOLOGICAL SOCIETY OF AMERICA INC,1990 M St NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2226272,https://www.usaspending.gov/award/ASST_NON_2226272_4900/ ,49550,NON-PROFIT ORGANIZATION,ECOLOGICAL SOCIETY OF AMERICA INC,1990 M St NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2305495,https://www.usaspending.gov/award/ASST_NON_2305495_4900/,49975,NON-PROFIT ORGANIZATION,ECOLOGICAL SOCIETY OF AMERICA INC,1990 M St NW,"Washington, DC",DISTRICT OF COLUMBIA,20036
2111010,https://www.usaspending.gov/award/ASST_NON_2111010_4900/,99997,NON-PROFIT ORGANIZATION,RESTORE AMERICA'S ESTUARIES,5314 17th Ave NW,Seattle,VIRGINIA,98107
2310326,https://www.usaspending.gov/award/ASST_NON_2310326_4900/,239498,FOR-PROFIT ORGANIZATION,EARTH IMAGES FOUNDATION,470 Cavour St,Oakland,CALIFORNIA,94618
2344806,https://www.usaspending.gov/award/ASST_NON_2344806_4900/,97500,FOR-PROFIT ORGANIZATION,GENETICS SOCIETY OF AMERICA INC,6120 Executive Blvd,Rockville,MARYLAND,20852
2224227,https://www.usaspending.gov/award/ASST_NON_2224227_4900/,431438,FOR-PROFIT ORGANIZATION,SAGEFOX CONSULTING GROUP LLC,30 Boltwood Walk,Amherst,MASSACHUSETTS,1002
2233622,https://www.usaspending.gov/award/ASST_NON_2233622_4900/,49954,FOR-PROFIT ORGANIZATION,SAGEFOX CONSULTING GROUP LLC,30 Boltwood Walk,Amherst,MASSACHUSETTS,1002
2318593,https://www.usaspending.gov/award/ASST_NON_2318593_4900/,321832,FOR-PROFIT ORGANIZATION,SAGEFOX CONSULTING GROUP LLC,30 Boltwood Walk,Amherst,MASSACHUSETTS,1002
2200838,https://www.usaspending.gov/award/ASST_NON_2200838_4900/,2091864,INDIAN/NATIVE AMERICAN TRIBAL DESIGNATED ORGANIZATION,COEUR D'ALENE TRIBE,850 A St,Plummer,IDAHO,83851
2318478,https://www.usaspending.gov/award/ASST_NON_2318478_4900/,264424,MEDICAL CENTER,ARKANSAS CHILDREN'S RESEARCH INSTITUTE,13 Childrens Way Ste 842,Little Rock,ARKANSAS,72202
