,RECIPIENT.NAME,award_count,total_funding_awarded,Recipient.Type
275,PRATT INSTITUTE,2,2124840,Private Institution of Higher Education
276,PRINCETON UNIVERSITY,8,1988296,Private Institution of Higher Education
277,PURDUE UNIVERSITY,45,20638784,Public Institution of Higher Education
278,RANDOLPH-MACON COLLEGE,1,435554,Private Institution of Higher Education
279,RENSSELAER POLYTECHNIC INSTITUTE,6,2531017,Private Institution of Higher Education
280,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,6,3119442,Public Institution of Higher Education
281,RIDER UNIVERSITY A NEW JERSEY NON-PROFIT CORP,1,220000,Private Institution of Higher Education
282,RIO HONDO COMMUNITY COLLEGE DISTRICT,2,1504343,Public Institution of Higher Education
283,ROCHESTER INSTITUTE OF TECHNOLOGY,15,4887643,Private Institution of Higher Education
284,ROCKHURST UNIVERSITY,1,1000000,Private Institution of Higher Education
285,ROSE-HULMAN INSTITUTE OF TECHNOLOGY,1,255655,Private Institution of Higher Education
286,ROWAN UNIVERSITY,5,3218685,Public Institution of Higher Education
287,RU SCHOOL OF OSTEOPATHIC MEDICINE,1,399998,Public Institution of Higher Education
288,RUTGERS UNIVERSITY-CAMDEN,28,15980197,Public Institution of Higher Education
289,SACRED HEART UNIVERSITY,1,1450727,Private Institution of Higher Education
290,SAINT AUGUSTINE'S UNIVERSITY,2,497216,Private Institution of Higher Education
291,SAINT FRANCIS UNIVERSITY,1,399727,Private Institution of Higher Education
292,SAINT LOUIS UNIVERSITY,1,749685,Private Institution of Higher Education
293,SAINT MARY'S COLLEGE OF CALIFORNIA,1,304102,Private Institution of Higher Education
294,SAINT MARY'S UNIVERSITY OF MINNESOTA,1,394470,Private Institution of Higher Education
295,SALEM STATE UNIVERSITY,1,327270,Public Institution of Higher Education
296,SALISBURY UNIVERSITY,2,628976,Public Institution of Higher Education
297,SALISH KOOTENAI COLLEGE,1,1621334,Private Institution of Higher Education
298,SAN DIEGO STATE UNIVERSITY,11,5587524,Public Institution of Higher Education
299,SAN FRANCISCO STATE UNIVERSITY,9,4476787,Public Institution of Higher Education
300,SAN JOSE STATE UNIVERSITY,11,7230249,Public Institution of Higher Education
301,SAN LUIS OBISPO COUNTY COMMUNITY COLLEGE DISTRICT,1,50762,Public Institution of Higher Education
302,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT,1,1498855,Public Institution of Higher Education
303,SANFORD RESEARCH,1,378652,Private Institution of Higher Education
304,SANTA CLARA COLLEGE,1,249987,Private Institution of Higher Education
305,SANTA FE COMMUNITY COLLEGE,1,399727,Public Institution of Higher Education
306,SANTA MONICA COMMUNITY COLLEGE DISTRICT,1,85385,Public Institution of Higher Education
307,SANTIAGO CANYON COLLEGE,1,68162,Public Institution of Higher Education
308,SAVANNAH STATE UNIVERSITY,1,1038533,Public Institution of Higher Education
,STATE CENTER COMMUNITY COLLEGE DISTRICT,1,99578,Public Institution of Higher Education
309,SCRIPPS COLLEGE,1,589597,Private Institution of Higher Education
310,SEATTLE PACIFIC UNIVERSITY,2,713665,Private Institution of Higher Education
311,SEATTLE UNIVERSITY,2,836250,Private Institution of Higher Education
312,SETON HILL UNIVERSITY,1,749966,Private Institution of Higher Education
313,SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,1,159222,Public Institution of Higher Education
314,SHAW UNIVERSITY,1,199797,Private Institution of Higher Education
315,SIENA COLLEGE,1,49843,Private Institution of Higher Education
316,SIMMONS UNIVERSITY,1,74960,Private Institution of Higher Education
317,SKIDMORE COLLEGE,1,449640,Private Institution of Higher Education
318,SMITH COLLEGE,2,334354,Private Institution of Higher Education
319,SONOMA STATE UNIVERSITY,1,375540,Public Institution of Higher Education
320,SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,2,745000,Public Institution of Higher Education
321,SOUTH DAKOTA STATE UNIVERSITY,3,2363097,Public Institution of Higher Education
322,SOUTH ORANGE COUNTY COMMUNITY COLLEGE DISTRICT,1,1500000,Public Institution of Higher Education
323,SOUTHERN CONNECTICUT STATE UNIVERSITY,2,2751476,Public Institution of Higher Education
324,SOUTHERN ILLINOIS UNIVERSITY-SYSTEM OFFICE,5,1491772,Public Institution of Higher Education
325,SOUTHERN METHODIST UNIVERSITY,4,1391496,Private Institution of Higher Education
326,SOUTHERN UNIVERSITY AND A & M COLLEGE,2,753653,Public Institution of Higher Education
327,SOUTHERN UTAH UNIVERSITY,1,23489,Public Institution of Higher Education
328,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,1,649956,Public Institution of Higher Education
329,SPELMAN COLLEGE,6,9163482,Private Institution of Higher Education
330,ST. CATHERINE UNIVERSITY,1,75000,Private Institution of Higher Education
